Source,Target,JourneyText,07-2012,08-2012,09-2012,10-2012,11-2012,12-2012,01-2013,02-2013,Weight
"Whiteley's, Bayswater","Bishop's Bridge Road West, Bayswater","Whiteley's, Bayswater to Bishop's Bridge Road West, Bayswater",1,2,3,1,6,2,0,0,15
"Bayswater Road, Hyde Park","Chapel Place, Marylebone","Bayswater Road, Hyde Park to Chapel Place, Marylebone",0,2,0,0,0,0,0,0,2
"Westbourne Grove, Bayswater","Bayswater Road, Hyde Park","Westbourne Grove, Bayswater to Bayswater Road, Hyde Park",0,1,0,0,0,0,0,0,1
"Lancaster Gate , Bayswater","Hereford Road, Bayswater","Lancaster Gate , Bayswater to Hereford Road, Bayswater",2,17,7,4,1,1,0,0,32
"Belgrove Street , King's Cross","Rathbone Street, Fitzrovia ","Belgrove Street , King's Cross to Rathbone Street, Fitzrovia ",1,0,0,0,0,0,0,0,1
"Tavistock Place, Bloomsbury","Russell Square Station, Bloomsbury","Tavistock Place, Bloomsbury to Russell Square Station, Bloomsbury",0,1,0,0,0,0,0,0,1
"Russell Square Station, Bloomsbury","Belgrove Street , King's Cross","Russell Square Station, Bloomsbury to Belgrove Street , King's Cross",0,3,3,2,4,3,1,0,16
"Belgrove Street , King's Cross","British Museum, Bloomsbury","Belgrove Street , King's Cross to British Museum, Bloomsbury",0,2,1,0,0,0,0,0,3
"Earnshaw Street , Covent Garden","Chapel Place, Marylebone","Earnshaw Street , Covent Garden to Chapel Place, Marylebone",1,1,0,0,0,0,0,0,2
"Chapel Place, Marylebone","Bishop's Bridge Road West, Bayswater","Chapel Place, Marylebone to Bishop's Bridge Road West, Bayswater",1,2,0,0,0,0,0,0,3
"Belgrove Street , King's Cross","Moor Street, Soho","Belgrove Street , King's Cross to Moor Street, Soho",1,2,0,3,8,7,1,0,22
"Whiteley's, Bayswater","Whiteley's, Bayswater","Whiteley's, Bayswater to Whiteley's, Bayswater",6,14,1,0,0,6,6,0,33
"Devonshire Terrace, Bayswater","Whiteley's, Bayswater","Devonshire Terrace, Bayswater to Whiteley's, Bayswater",0,2,0,0,0,2,0,0,4
"British Museum, Bloomsbury","Bayswater Road, Hyde Park","British Museum, Bloomsbury to Bayswater Road, Hyde Park",0,1,1,0,0,1,0,0,3
"Belgrove Street , King's Cross","Knightsbridge, Hyde Park","Belgrove Street , King's Cross to Knightsbridge, Hyde Park",0,1,0,0,0,0,0,0,1
"Belgrove Street , King's Cross","Bayswater Road, Hyde Park","Belgrove Street , King's Cross to Bayswater Road, Hyde Park",0,1,0,0,0,1,0,0,2
"Broadwick Street, Soho","Houghton Street, Strand","Broadwick Street, Soho to Houghton Street, Strand",1,0,0,0,0,0,0,0,1
"Houghton Street, Strand","Craven Street, Strand","Houghton Street, Strand to Craven Street, Strand",1,0,0,0,0,0,0,0,1
"Chapel Place, Marylebone","Bayswater Road, Hyde Park","Chapel Place, Marylebone to Bayswater Road, Hyde Park",1,6,1,0,0,0,1,0,9
"Ilchester Gardens, Bayswater","Bayswater Road, Hyde Park","Ilchester Gardens, Bayswater to Bayswater Road, Hyde Park",1,2,0,0,0,0,0,0,3
"Black Lion Gate, Kensington Gardens","Ilchester Gardens, Bayswater","Black Lion Gate, Kensington Gardens to Ilchester Gardens, Bayswater",2,0,0,0,0,0,0,0,2
"Bayswater Road, Hyde Park","Soho Square , Soho","Bayswater Road, Hyde Park to Soho Square , Soho",1,0,0,0,0,0,0,0,1
"Princes Square, Bayswater","Lancaster Gate , Bayswater","Princes Square, Bayswater to Lancaster Gate , Bayswater",0,1,0,0,0,0,0,0,1
"Hereford Road, Bayswater","Princes Square, Bayswater","Hereford Road, Bayswater to Princes Square, Bayswater",0,1,0,0,0,0,0,0,1
"Lancaster Gate , Bayswater","Westbourne Grove, Bayswater","Lancaster Gate , Bayswater to Westbourne Grove, Bayswater",0,3,9,10,20,19,14,0,75
"Belgrove Street , King's Cross","Brunswick Square, Bloomsbury","Belgrove Street , King's Cross to Brunswick Square, Bloomsbury",0,3,1,1,4,5,2,2,18
"Lancaster Gate , Bayswater","Whiteley's, Bayswater","Lancaster Gate , Bayswater to Whiteley's, Bayswater",1,4,0,0,0,1,1,0,7
"Belgrove Street , King's Cross","Earnshaw Street , Covent Garden","Belgrove Street , King's Cross to Earnshaw Street , Covent Garden",1,2,5,1,3,0,5,0,17
"Whiteley's, Bayswater","Marylebone Lane, Marylebone","Whiteley's, Bayswater to Marylebone Lane, Marylebone",0,1,0,0,0,0,0,0,1
"Belgrove Street , King's Cross","Russell Square Station, Bloomsbury","Belgrove Street , King's Cross to Russell Square Station, Bloomsbury",2,4,4,0,1,1,1,0,13
"Bayley Street , Bloomsbury","Belgrove Street , King's Cross","Bayley Street , Bloomsbury to Belgrove Street , King's Cross",0,1,1,1,0,0,0,0,3
"Chapel Place, Marylebone","Belgrove Street , King's Cross","Chapel Place, Marylebone to Belgrove Street , King's Cross",1,7,1,0,0,0,0,0,9
"Princes Square, Bayswater","Chapel Place, Marylebone","Princes Square, Bayswater to Chapel Place, Marylebone",0,1,0,0,0,0,0,0,1
"Belgrove Street , King's Cross","Broadwick Street, Soho","Belgrove Street , King's Cross to Broadwick Street, Soho",0,1,1,0,0,0,2,0,4
"Russell Square Station, Bloomsbury","Chapel Place, Marylebone","Russell Square Station, Bloomsbury to Chapel Place, Marylebone",0,1,0,0,0,0,0,0,1
"Tavistock Place, Bloomsbury","Earnshaw Street , Covent Garden","Tavistock Place, Bloomsbury to Earnshaw Street , Covent Garden",0,1,0,1,1,0,0,0,3
"Earnshaw Street , Covent Garden","Belgrove Street , King's Cross","Earnshaw Street , Covent Garden to Belgrove Street , King's Cross",1,2,1,0,1,0,0,0,5
"Brunswick Square, Bloomsbury","Bayswater Road, Hyde Park","Brunswick Square, Bloomsbury to Bayswater Road, Hyde Park",0,1,0,0,0,1,1,0,3
"Bayswater Road, Hyde Park","Nutford Place, Marylebone","Bayswater Road, Hyde Park to Nutford Place, Marylebone",0,1,0,0,0,0,0,0,1
"Nutford Place, Marylebone","Bishop's Bridge Road West, Bayswater","Nutford Place, Marylebone to Bishop's Bridge Road West, Bayswater",0,2,1,0,0,0,0,0,3
"Bayswater Road, Hyde Park","Whiteley's, Bayswater","Bayswater Road, Hyde Park to Whiteley's, Bayswater",1,3,1,0,1,0,0,0,6
"Soho Square , Soho","Belgrove Street , King's Cross","Soho Square , Soho to Belgrove Street , King's Cross",2,1,2,1,0,0,1,0,7
"Russell Square Station, Bloomsbury","Bayswater Road, Hyde Park","Russell Square Station, Bloomsbury to Bayswater Road, Hyde Park",1,0,0,0,0,0,0,0,1
"Whiteley's, Bayswater","Ilchester Gardens, Bayswater","Whiteley's, Bayswater to Ilchester Gardens, Bayswater",1,3,0,0,0,1,0,0,5
"Belgrove Street , King's Cross","Chapel Place, Marylebone","Belgrove Street , King's Cross to Chapel Place, Marylebone",1,6,0,1,0,0,0,0,8
"Hereford Road, Bayswater","Bayswater Road, Hyde Park","Hereford Road, Bayswater to Bayswater Road, Hyde Park",1,0,1,0,0,0,0,0,2
"Bayswater Road, Hyde Park","Hinde Street, Marylebone","Bayswater Road, Hyde Park to Hinde Street, Marylebone",1,0,0,0,0,0,0,0,1
"Hinde Street, Marylebone","Belgrove Street , King's Cross","Hinde Street, Marylebone to Belgrove Street , King's Cross",1,1,0,0,0,0,0,0,2
"Bishop's Bridge Road West, Bayswater","Lancaster Gate , Bayswater","Bishop's Bridge Road West, Bayswater to Lancaster Gate , Bayswater",0,4,2,5,1,1,1,0,14
"Marylebone Lane, Marylebone","Russell Square Station, Bloomsbury","Marylebone Lane, Marylebone to Russell Square Station, Bloomsbury",1,0,0,0,0,0,0,0,1
"Russell Square Station, Bloomsbury","St. Chad's Street, King's Cross","Russell Square Station, Bloomsbury to St. Chad's Street, King's Cross",1,0,1,0,0,0,0,0,2
"Ilchester Gardens, Bayswater","Marylebone Lane, Marylebone","Ilchester Gardens, Bayswater to Marylebone Lane, Marylebone",1,0,0,0,0,0,0,0,1
"Ilchester Gardens, Bayswater","Devonshire Terrace, Bayswater","Ilchester Gardens, Bayswater to Devonshire Terrace, Bayswater",0,1,0,0,0,0,0,0,1
"Devonshire Terrace, Bayswater","Lancaster Gate , Bayswater","Devonshire Terrace, Bayswater to Lancaster Gate , Bayswater",0,2,0,0,4,1,0,0,7
"Pembridge Villas, Notting Hill","Eastbourne Mews, Paddington","Pembridge Villas, Notting Hill to Eastbourne Mews, Paddington",0,2,0,0,0,0,0,0,2
"Eastbourne Mews, Paddington","Bishop's Bridge Road West, Bayswater","Eastbourne Mews, Paddington to Bishop's Bridge Road West, Bayswater",0,3,0,0,0,1,0,0,4
"Pembridge Villas, Notting Hill","Pembridge Villas, Notting Hill","Pembridge Villas, Notting Hill to Pembridge Villas, Notting Hill",0,2,1,0,0,0,0,0,3
"Bayswater Road, Hyde Park","Ilchester Gardens, Bayswater","Bayswater Road, Hyde Park to Ilchester Gardens, Bayswater",0,1,0,0,0,0,0,0,1
"Pembridge Villas, Notting Hill","Ilchester Gardens, Bayswater","Pembridge Villas, Notting Hill to Ilchester Gardens, Bayswater",2,1,0,0,1,0,0,0,4
"Bishop's Bridge Road West, Bayswater","Aberdeen Place, St. John's Wood","Bishop's Bridge Road West, Bayswater to Aberdeen Place, St. John's Wood",1,0,0,0,0,0,0,0,1
"Belgrove Street , King's Cross","Frith Street, Soho","Belgrove Street , King's Cross to Frith Street, Soho",1,0,3,2,1,2,2,0,11
"British Museum, Bloomsbury","Belgrove Street , King's Cross","British Museum, Bloomsbury to Belgrove Street , King's Cross",2,0,2,0,0,2,2,0,8
"Hereford Road, Bayswater","Speakers' Corner 1, Hyde Park","Hereford Road, Bayswater to Speakers' Corner 1, Hyde Park",0,4,4,0,0,0,0,0,8
"Speakers' Corner 1, Hyde Park","Soho Square , Soho","Speakers' Corner 1, Hyde Park to Soho Square , Soho",0,1,1,0,0,0,0,0,2
"British Museum, Bloomsbury","Bayley Street , Bloomsbury","British Museum, Bloomsbury to Bayley Street , Bloomsbury",0,1,1,0,0,0,0,0,2
"Speakers' Corner 1, Hyde Park","Marylebone Lane, Marylebone","Speakers' Corner 1, Hyde Park to Marylebone Lane, Marylebone",0,1,0,0,0,0,0,0,1
"Belgrove Street , King's Cross","Hampstead Road, Euston","Belgrove Street , King's Cross to Hampstead Road, Euston",0,1,0,1,0,0,1,0,3
"Devonshire Terrace, Bayswater","Bishop's Bridge Road West, Bayswater","Devonshire Terrace, Bayswater to Bishop's Bridge Road West, Bayswater",0,4,3,1,3,4,1,0,16
"Knightsbridge, Hyde Park","Devonshire Terrace, Bayswater","Knightsbridge, Hyde Park to Devonshire Terrace, Bayswater",0,1,0,0,0,0,0,0,1
"Bayley Street , Bloomsbury","Speakers' Corner 1, Hyde Park","Bayley Street , Bloomsbury to Speakers' Corner 1, Hyde Park",1,0,0,0,0,0,0,0,1
"Speakers' Corner 1, Hyde Park","Bayswater Road, Hyde Park","Speakers' Corner 1, Hyde Park to Bayswater Road, Hyde Park",1,1,0,0,0,0,0,0,2
"Princes Square, Bayswater","Pembridge Villas, Notting Hill","Princes Square, Bayswater to Pembridge Villas, Notting Hill",0,1,0,0,0,0,0,0,1
"Bishop's Bridge Road West, Bayswater","Hereford Road, Bayswater","Bishop's Bridge Road West, Bayswater to Hereford Road, Bayswater",1,5,2,0,0,0,0,0,8
"Chapel Place, Marylebone","Hereford Road, Bayswater","Chapel Place, Marylebone to Hereford Road, Bayswater",0,1,0,0,0,0,0,0,1
"Princes Square, Bayswater","Black Lion Gate, Kensington Gardens","Princes Square, Bayswater to Black Lion Gate, Kensington Gardens",0,1,0,0,0,0,0,0,1
"Lancaster Gate , Bayswater","Chapel Place, Marylebone","Lancaster Gate , Bayswater to Chapel Place, Marylebone",0,1,0,0,0,0,0,0,1
"Ilchester Gardens, Bayswater","Lansdowne Walk, Notting Hill","Ilchester Gardens, Bayswater to Lansdowne Walk, Notting Hill",1,0,0,0,0,0,0,0,1
"Hereford Road, Bayswater","Bishop's Bridge Road West, Bayswater","Hereford Road, Bayswater to Bishop's Bridge Road West, Bayswater",2,3,2,0,0,1,0,0,8
"Hyde Park Corner, Hyde Park","Knightsbridge, Hyde Park","Hyde Park Corner, Hyde Park to Knightsbridge, Hyde Park",0,1,0,0,0,0,0,0,1
"Devonshire Terrace, Bayswater","Speakers' Corner 2, Hyde Park","Devonshire Terrace, Bayswater to Speakers' Corner 2, Hyde Park",0,1,0,0,0,0,0,0,1
"Speakers' Corner 2, Hyde Park","Hyde Park Corner, Hyde Park","Speakers' Corner 2, Hyde Park to Hyde Park Corner, Hyde Park",0,1,0,0,0,0,0,0,1
"Knightsbridge, Hyde Park","Albert Gate, Hyde Park","Knightsbridge, Hyde Park to Albert Gate, Hyde Park",0,1,0,0,0,0,0,0,1
"Hereford Road, Bayswater","Chapel Place, Marylebone","Hereford Road, Bayswater to Chapel Place, Marylebone",1,1,1,0,0,0,0,0,3
"Eastbourne Mews, Paddington","Whiteley's, Bayswater","Eastbourne Mews, Paddington to Whiteley's, Bayswater",0,2,0,0,0,0,0,0,2
"Lancaster Gate , Bayswater","Hinde Street, Marylebone","Lancaster Gate , Bayswater to Hinde Street, Marylebone",0,1,0,0,0,0,0,0,1
"Whiteley's, Bayswater","Pembridge Villas, Notting Hill","Whiteley's, Bayswater to Pembridge Villas, Notting Hill",2,0,0,0,0,0,0,0,2
"Howland Street, Fitzrovia","Nutford Place, Marylebone","Howland Street, Fitzrovia to Nutford Place, Marylebone",0,1,0,0,0,0,0,0,1
"Nutford Place, Marylebone","Nutford Place, Marylebone","Nutford Place, Marylebone to Nutford Place, Marylebone",0,1,0,0,0,0,0,0,1
"Nutford Place, Marylebone","Russell Square Station, Bloomsbury","Nutford Place, Marylebone to Russell Square Station, Bloomsbury",0,1,0,0,0,0,0,0,1
"Russell Square Station, Bloomsbury","Howland Street, Fitzrovia","Russell Square Station, Bloomsbury to Howland Street, Fitzrovia",0,1,0,0,0,0,0,0,1
"Soho Square , Soho","Devonshire Terrace, Bayswater","Soho Square , Soho to Devonshire Terrace, Bayswater",0,1,0,0,0,0,0,0,1
"Wells Street, Fitzrovia ","Bishop's Bridge Road West, Bayswater","Wells Street, Fitzrovia  to Bishop's Bridge Road West, Bayswater",1,0,0,0,0,0,0,0,1
"Belgrove Street , King's Cross","Bayley Street , Bloomsbury","Belgrove Street , King's Cross to Bayley Street , Bloomsbury",1,0,0,2,0,0,0,0,3
"Broadwick Street, Soho","Craven Street, Strand","Broadwick Street, Soho to Craven Street, Strand",2,0,0,0,0,0,0,0,2
"Devonshire Terrace, Bayswater","Westbourne Grove, Bayswater","Devonshire Terrace, Bayswater to Westbourne Grove, Bayswater",0,1,0,0,1,0,0,0,2
"Speakers' Corner 1, Hyde Park","Devonshire Terrace, Bayswater","Speakers' Corner 1, Hyde Park to Devonshire Terrace, Bayswater",0,1,0,0,0,0,0,0,1
"Belgrove Street , King's Cross","Tavistock Place, Bloomsbury","Belgrove Street , King's Cross to Tavistock Place, Bloomsbury",0,2,0,0,2,0,1,0,5
"Tavistock Place, Bloomsbury","Speakers' Corner 1, Hyde Park","Tavistock Place, Bloomsbury to Speakers' Corner 1, Hyde Park",0,1,0,0,0,0,0,0,1
"Westbourne Grove, Bayswater","Ilchester Gardens, Bayswater","Westbourne Grove, Bayswater to Ilchester Gardens, Bayswater",0,1,1,0,0,0,0,0,2
"Tavistock Place, Bloomsbury","British Museum, Bloomsbury","Tavistock Place, Bloomsbury to British Museum, Bloomsbury",0,1,0,0,0,1,0,0,2
"Hereford Road, Bayswater","Notting Hill Gate Station, Notting Hill","Hereford Road, Bayswater to Notting Hill Gate Station, Notting Hill",0,2,0,0,0,0,0,0,2
"Frith Street, Soho","Belgrove Street , King's Cross","Frith Street, Soho to Belgrove Street , King's Cross",1,0,0,0,0,0,0,0,1
"Cleveland Gardens, Bayswater","Devonshire Terrace, Bayswater","Cleveland Gardens, Bayswater to Devonshire Terrace, Bayswater",1,0,0,0,0,0,0,0,1
"Ilchester Gardens, Bayswater","Cleveland Gardens, Bayswater","Ilchester Gardens, Bayswater to Cleveland Gardens, Bayswater",1,0,0,0,0,0,0,0,1
"Ilchester Gardens, Bayswater","Hereford Road, Bayswater","Ilchester Gardens, Bayswater to Hereford Road, Bayswater",0,1,2,0,0,1,0,0,4
"Speakers' Corner 2, Hyde Park","Belgrove Street , King's Cross","Speakers' Corner 2, Hyde Park to Belgrove Street , King's Cross",2,2,4,0,0,0,0,0,8
"Pembridge Villas, Notting Hill","Speakers' Corner 2, Hyde Park","Pembridge Villas, Notting Hill to Speakers' Corner 2, Hyde Park",1,0,0,0,0,0,0,0,1
"Whiteley's, Bayswater","Belgrove Street , King's Cross","Whiteley's, Bayswater to Belgrove Street , King's Cross",0,1,0,0,0,1,0,0,2
"Craven Street, Strand","Wardour Street, Soho","Craven Street, Strand to Wardour Street, Soho",1,0,0,0,0,0,0,0,1
"Bayswater Road, Hyde Park","Pembridge Villas, Notting Hill","Bayswater Road, Hyde Park to Pembridge Villas, Notting Hill",1,0,2,0,0,0,0,0,3
"Cumberland Gate, Hyde Park","Bayswater Road, Hyde Park","Cumberland Gate, Hyde Park to Bayswater Road, Hyde Park",1,0,0,0,0,0,0,0,1
"Wardour Street, Soho","Cumberland Gate, Hyde Park","Wardour Street, Soho to Cumberland Gate, Hyde Park",1,0,0,0,1,0,0,0,2
"Speakers' Corner 2, Hyde Park","Bishop's Bridge Road West, Bayswater","Speakers' Corner 2, Hyde Park to Bishop's Bridge Road West, Bayswater",0,1,0,0,1,1,0,0,3
"British Museum, Bloomsbury","Speakers' Corner 2, Hyde Park","British Museum, Bloomsbury to Speakers' Corner 2, Hyde Park",0,1,0,0,0,0,0,0,1
"Whiteley's, Bayswater","Bishop's Bridge Road East, Bayswater","Whiteley's, Bayswater to Bishop's Bridge Road East, Bayswater",1,0,0,0,0,0,0,0,1
"Devonshire Terrace, Bayswater","Orsett Terrace, Bayswater","Devonshire Terrace, Bayswater to Orsett Terrace, Bayswater",0,1,0,0,0,0,0,0,1
"Chapel Place, Marylebone","Lancaster Gate , Bayswater","Chapel Place, Marylebone to Lancaster Gate , Bayswater",0,1,0,0,0,0,0,0,1
"British Museum, Bloomsbury","Chapel Place, Marylebone","British Museum, Bloomsbury to Chapel Place, Marylebone",0,3,0,0,0,0,0,0,3
"Notting Hill Gate Station, Notting Hill","Hereford Road, Bayswater","Notting Hill Gate Station, Notting Hill to Hereford Road, Bayswater",1,1,0,0,0,0,0,0,2
"Lancaster Gate , Bayswater","Notting Hill Gate Station, Notting Hill","Lancaster Gate , Bayswater to Notting Hill Gate Station, Notting Hill",0,1,0,0,0,1,0,0,2
"Hereford Road, Bayswater","Devonshire Terrace, Bayswater","Hereford Road, Bayswater to Devonshire Terrace, Bayswater",0,1,0,0,0,1,0,0,2
"Soho Square , Soho","Golden Square, Soho","Soho Square , Soho to Golden Square, Soho",1,0,0,0,0,0,0,0,1
"Ilchester Gardens, Bayswater","Chapel Place, Marylebone","Ilchester Gardens, Bayswater to Chapel Place, Marylebone",0,1,0,0,0,0,0,0,1
"Belgrove Street , King's Cross","Belgrove Street , King's Cross","Belgrove Street , King's Cross to Belgrove Street , King's Cross",0,3,0,0,1,0,0,0,4
"Whiteley's, Bayswater","Black Lion Gate, Kensington Gardens","Whiteley's, Bayswater to Black Lion Gate, Kensington Gardens",0,1,0,0,0,0,0,0,1
"Curzon Street, Mayfair","Hyde Park Corner, Hyde Park","Curzon Street, Mayfair to Hyde Park Corner, Hyde Park",0,1,0,0,0,0,0,0,1
"Hyde Park Corner, Hyde Park","Lancaster Gate , Bayswater","Hyde Park Corner, Hyde Park to Lancaster Gate , Bayswater",0,1,0,0,0,0,0,0,1
"Chapel Place, Marylebone","Earnshaw Street , Covent Garden","Chapel Place, Marylebone to Earnshaw Street , Covent Garden",0,2,0,0,0,0,0,0,2
"Tavistock Place, Bloomsbury","Broadwick Street, Soho","Tavistock Place, Bloomsbury to Broadwick Street, Soho",1,0,0,0,0,0,0,0,1
"Hereford Road, Bayswater","Whiteley's, Bayswater","Hereford Road, Bayswater to Whiteley's, Bayswater",1,0,0,0,0,0,0,0,1
"Bishop's Bridge Road West, Bayswater","Bishop's Bridge Road West, Bayswater","Bishop's Bridge Road West, Bayswater to Bishop's Bridge Road West, Bayswater",0,2,2,0,1,0,0,0,5
"Notting Hill Gate Station, Notting Hill","Whiteley's, Bayswater","Notting Hill Gate Station, Notting Hill to Whiteley's, Bayswater",1,0,0,0,0,0,0,0,1
"Earnshaw Street , Covent Garden","Embankment (Horse Guards), Westminster","Earnshaw Street , Covent Garden to Embankment (Horse Guards), Westminster",1,0,0,0,0,0,0,0,1
"Bayswater Road, Hyde Park","Knightsbridge, Hyde Park","Bayswater Road, Hyde Park to Knightsbridge, Hyde Park",0,1,0,0,0,0,0,0,1
"Speakers' Corner 2, Hyde Park","Nutford Place, Marylebone","Speakers' Corner 2, Hyde Park to Nutford Place, Marylebone",0,1,0,0,0,0,0,0,1
"Knightsbridge, Hyde Park","Speakers' Corner 2, Hyde Park","Knightsbridge, Hyde Park to Speakers' Corner 2, Hyde Park",0,1,0,0,0,0,0,0,1
"Hereford Road, Bayswater","Soho Square , Soho","Hereford Road, Bayswater to Soho Square , Soho",1,0,0,0,0,0,0,0,1
"Westbourne Grove, Bayswater","Chapel Place, Marylebone","Westbourne Grove, Bayswater to Chapel Place, Marylebone",0,1,0,0,0,0,0,0,1
"Whiteley's, Bayswater","Bayswater Road, Hyde Park","Whiteley's, Bayswater to Bayswater Road, Hyde Park",0,4,2,0,0,0,2,0,8
"Bayswater Road, Hyde Park","Marylebone Lane, Marylebone","Bayswater Road, Hyde Park to Marylebone Lane, Marylebone",0,2,0,0,0,0,0,0,2
"St. John's Wood Road, St. John's Wood","Bishop's Bridge Road West, Bayswater","St. John's Wood Road, St. John's Wood to Bishop's Bridge Road West, Bayswater",1,0,0,0,0,0,0,0,1
"St. John's Wood Road, St. John's Wood","St. John's Wood Road, St. John's Wood","St. John's Wood Road, St. John's Wood to St. John's Wood Road, St. John's Wood",1,0,0,0,0,0,0,0,1
"Brunswick Square, Bloomsbury","Craven Street, Strand","Brunswick Square, Bloomsbury to Craven Street, Strand",1,0,0,1,0,0,0,1,3
"Brunswick Square, Bloomsbury","Brunswick Square, Bloomsbury","Brunswick Square, Bloomsbury to Brunswick Square, Bloomsbury",0,1,0,0,0,1,0,0,2
"Westbourne Grove, Bayswater","Whiteley's, Bayswater","Westbourne Grove, Bayswater to Whiteley's, Bayswater",0,1,1,0,0,0,0,0,2
"Lansdowne Walk, Notting Hill","Holland Walk, Kensington","Lansdowne Walk, Notting Hill to Holland Walk, Kensington",1,0,0,0,0,0,0,0,1
"Holland Walk, Kensington","Notting Hill Gate Station, Notting Hill","Holland Walk, Kensington to Notting Hill Gate Station, Notting Hill",1,0,0,0,0,0,0,0,1
"Belgrove Street , King's Cross","Southampton Place, Holborn","Belgrove Street , King's Cross to Southampton Place, Holborn",0,2,1,3,1,2,5,0,14
"Southampton Place, Holborn","Wardour Street, Soho","Southampton Place, Holborn to Wardour Street, Soho",0,1,0,1,0,0,0,0,2
"St. Chad's Street, King's Cross","Frith Street, Soho","St. Chad's Street, King's Cross to Frith Street, Soho",0,1,1,0,0,0,0,0,2
"Cumberland Gate, Hyde Park","Bishop's Bridge Road West, Bayswater","Cumberland Gate, Hyde Park to Bishop's Bridge Road West, Bayswater",0,1,2,0,2,2,0,0,7
"Frith Street, Soho","Cumberland Gate, Hyde Park","Frith Street, Soho to Cumberland Gate, Hyde Park",0,1,0,0,0,0,0,0,1
"Russell Square Station, Bloomsbury","Little Argyll Street, West End","Russell Square Station, Bloomsbury to Little Argyll Street, West End",1,0,0,0,0,0,1,0,2
"Little Argyll Street, West End","Bishop's Bridge Road West, Bayswater","Little Argyll Street, West End to Bishop's Bridge Road West, Bayswater",1,0,0,0,0,0,0,0,1
"Princes Square, Bayswater","Bayswater Road, Hyde Park","Princes Square, Bayswater to Bayswater Road, Hyde Park",0,1,0,0,0,0,0,0,1
